CD-01: Card Based Bill Payment - Negative Senarious,,,,,,,,,,,,
TC ID,Test Area,Test Case Description,Pre-Conditions,Test Steps,Expected Result,Actual Result,RRN,Utano,Status,FE,SIBS,Remarks
TC_CB_BP_N_01_001, Card Based Bill Payment,Disagree to receipt availability message,N/A,Receipt unavailable screen > Select Disagree,Transaction cancelled message displayed; card ejected safely.,,,,PASS,PASS,PASS,
TC_CB_BP_N_01_002, Card Based Bill Payment,Disagree to charge,N/A,Charge confirmation displayed > Select Disagree,Fee calculation cancelled; transaction cancelled message displayed; card ejected.,,,,N/A,N/A,N/A,
TC_CB_BP_N_01_003, Card Based Bill Payment,Invalid PIN entry,Active card inserted,Insert card > Enter incorrect PIN,Invalid PIN message displayed on screen; retry prompt shown.,,,,PASS,PASS,PASS,
TC_CB_BP_N_01_004, Card Based Bill Payment,Max PIN retries exceeded,Active card inserted,Insert card > Enter incorrect PIN 3 consecutive times,"""Max PIN attempts exceeded"" message displayed; card retained / blocked.",,,,PASS,PASS,PASS,
TC_CB_BP_N_01_005, Card Based Bill Payment,Invalid NIC,1. 996673062V / 556682362V / 123456789012 / 070737300v,Insert card > Enter PIN > Select Payments > Enter invalid NIC and confirm,Invalid information message displayed; re-entry / cancel option available. Verified by PB API.,,,,PASS,PASS,PASS,
TC_CB_BP_N_01_006, Card Based Bill Payment,Cancel after invalid NIC,1. 996673062V / 556682362V / 123456789012 / 070737300v,Enter invalid NIC > Select Cancel,PB API verification bypassed; invalid information message / transaction cancelled message displayed; card ejected.,,,,PASS,PASS,PASS,
TC_CB_BP_N_01_007, Card Based Bill Payment,Invalid telephone number,1. +947755049 / 070737300 / 01148877900,Enter invalid telephone number,SV verified telephone and invalid information message displayed.,,,,PASS,PASS,PASS,
TC_CB_BP_N_01_008, Card Based Bill Payment,Cancel at cash deposit instruction,1. Pressing CANCEL button,Read cash deposit instruction > Select Cancel,Transaction cancelled and thank you message displayed; card ejected.,,,,PASS,PASS,PASS,
TC_CB_BP_N_01_009, Card Based Bill Payment,Cash rejected and user selects cancel,1. Pressing CANCEL button,Insert invalid cash > Cash rejected > Select Cancel,"Cash returned, transaction cancelled, and card ejected.",,,,PASS,PASS,PASS,
TC_CB_BP_N_01_010, Card Based Bill Payment,Verify Min cash limit,N/A,Enter invalid min cash amount,Cash returned; appropriate error message displayed; no Biller and Cancel shown.,,,,PASS,PASS,PASS,
TC_CB_BP_N_01_011, Card Based Bill Payment,Verify Max cash limit,N/A,Enter invalid max cash amount,Cash returned; appropriate error message displayed; no Biller and Cancel shown.,,,,PASS,PASS,PASS,
TC_CB_BP_N_01_012, Card Based Bill Payment,Insert cash denominations not supported,N/A,Insert unaccepted / invalid cash denominations,Cash returned; appropriate error message displayed; no Biller and Cancel shown.,,,,PASS,PASS,PASS,
TC_CB_BP_N_01_013, Card Based Bill Payment,Bill payment confirmation cancelled,1. Pressing CANCEL button,Read bill details confirmation > Select Cancel,"Cash returned, transaction cancelled, and card ejected.",,,,PASS,PASS,PASS,
TC_CB_BP_N_01_014, Card Based Bill Payment,Dialog Mobile invalid bill number,1. 50002345 / 0712012345677,Select Dialog Mobile > Enter valid NIC and telephone > Enter invalid bill number > Confirm,Bill No. verified by PB API and invalid number message displayed with re-enter / cancel option.,,,,PASS,PASS,PASS,
TC_CB_BP_N_01_015, Card Based Bill Payment,Mobitel Mobile invalid bill number,1. 50002345 / 0712012345677,Select Mobitel Prepaid/Postpaid > Enter valid NIC and telephone > Enter invalid bill number > Confirm,Bill No. verified by PB API and invalid number message displayed with re-enter / cancel option.,,,,PASS,PASS,PASS,
TC_CB_BP_N_01_016, Card Based Bill Payment,CEB invalid bill number,1. E3002345,Select CEB > Enter valid NIC and telephone > Enter invalid bill number > Confirm,Bill No. verified by PB API and invalid number message displayed with re-enter / cancel option.,,,,PASS,PASS,PASS,
TC_CB_BP_N_01_017, Card Based Bill Payment,LECO invalid bill number,E3002345,Select LECO > Enter valid NIC and telephone > Enter invalid bill number > Confirm,Bill No. verified by PB API and invalid number message displayed with re-enter / cancel option.,,,,PASS,PASS,PASS,
TC_CB_BP_N_01_018, Card Based Bill Payment,SLT invalid bill number,1. E3002347,Select SLT > Enter valid NIC and telephone > Enter invalid bill number > Confirm,Bill No. verified by PB API and invalid number message displayed with re-enter / cancel option.,,,,PASS,PASS,PASS,
TC_CB_BP_N_01_019, Card Based Bill Payment,Water Board invalid bill number,E3002348,Select Water Board > Enter valid NIC and telephone > Enter invalid bill number > Confirm,Bill No. verified by PB API and invalid number message displayed with re-enter / cancel option.,,,,PASS,PASS,PASS,
TC_CB_BP_N_01_020, Card Based Bill Payment,Dialog TV invalid bill number,1. E3002349,Select Dialog TV > Enter valid NIC and telephone > Enter invalid bill number > Confirm,Bill No. verified by PB API and invalid number message displayed with re-enter / cancel option.,,,,PASS,PASS,PASS,
